Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-07-01 00:00,2021,67,65,0.00,55,0.00,,6.0,3.3,0.35,0.64,2.6,3.4,10.8,9.8,17.7,76,78,76,67,62
2017-07-01 01:00,2021,66,60,0.00,54,0.00,,4.6,2.7,0.34,0.63,1.7,3.9,11.1,9.6,17.5,74,76,75,67,62
2017-07-01 02:00,2021,61,60,0.00,64,0.00,,3.4,1.7,0.34,0.53,2.2,3.3,11.0,9.6,18.0,73,75,75,67,62
2017-07-01 03:00,2021,60,58,0.00,66,0.60,,4.3,2.0,0.34,0.50,2.1,3.8,9.9,8.7,18.1,71,74,75,67,62
2017-07-01 04:00,2021,64,59,0.00,69,40.66,,4.4,2.3,0.34,0.53,2.1,3.1,10.6,9.5,17.5,70,73,74,67,62
2017-07-01 05:00,2021,68,64,0.00,56,170.40,,4.6,1.3,0.37,0.64,1.5,3.1,10.5,10.1,17.7,69,72,74,67,62
2017-07-01 06:00,2021,73,68,0.00,54,304.00,,5.2,3.0,0.38,0.72,1.3,3.2,10.3,9.3,18.0,69,71,73,68,62
2017-07-01 07:00,2021,79,73,0.00,50,461.70,,9.8,4.6,0.40,0.88,2.2,2.3,10.9,9.5,17.8,69,71,73,68,62
2017-07-01 08:00,2021,81,78,0.00,36,623.60,,10.3,5.6,0.36,1.02,2.2,3.9,10.3,9.8,17.8,71,71,73,68,62
2017-07-01 09:00,2021,85,81,0.00,33,777.00,,10.5,5.6,0.35,1.12,1.9,3.2,10.1,9.1,18.0,74,71,72,68,62
2017-07-01 10:00,2021,87,85,0.00,31,831.00,,13.3,5.9,0.38,1.24,2.8,3.3,10.6,9.7,17.8,78,73,72,68,62
2017-07-01 11:00,2021,89,87,0.00,30,866.00,,12.5,6.6,0.38,1.32,3.2,2.9,10.5,8.8,17.7,82,75,72,68,62
2017-07-01 12:00,2021,89,88,0.00,28,784.00,,15.4,7.5,0.38,1.36,3.3,2.8,10.6,9.8,17.9,86,78,72,68,62
2017-07-01 13:00,2021,90,89,0.00,26,796.00,,12.8,6.3,0.34,1.40,3.1,4.4,10.8,9.1,18.0,89,81,72,68,62
2017-07-01 14:00,2021,92,90,0.00,23,760.00,,13.1,6.1,0.33,1.47,2.7,4.4,10.2,9.5,17.9,91,83,73,68,62
2017-07-01 15:00,2021,92,90,0.00,22,601.00,,13.2,6.6,0.30,1.47,2.7,3.9,10.8,9.2,17.7,93,85,73,68,62
2017-07-01 16:00,2021,92,90,0.00,20,442.20,,13.4,7.5,0.31,1.46,3.3,3.6,10.5,8.8,17.7,95,86,74,68,62
2017-07-01 17:00,2021,90,90,0.00,21,318.70,,12.4,6.5,0.31,1.43,2.8,4.2,10.6,9.6,17.8,94,86,74,68,62
2017-07-01 18:00,2021,90,86,0.00,20,156.00,,8.8,5.1,0.31,1.36,2.4,4.3,9.6,8.6,17.6,92,86,75,68,62
2017-07-01 19:00,2021,86,77,0.00,26,28.08,,6.5,3.3,0.33,1.13,2.4,3.3,11.1,8.5,17.5,90,85,76,68,62
2017-07-01 20:00,2021,77,73,0.00,36,0.37,,4.3,2.2,0.34,0.90,2.2,4.1,10.2,8.6,17.7,87,84,76,68,62
2017-07-01 21:00,2021,74,72,0.00,42,0.00,,8.0,3.8,0.32,0.82,1.7,4.2,10.9,8.7,17.8,84,83,76,68,62
2017-07-01 22:00,2021,72,68,0.00,38,0.00,,8.5,3.1,0.30,0.75,2.2,3.9,9.8,9.6,17.5,82,81,76,68,62
2017-07-01 23:00,2021,70,67,0.00,40,0.00,,4.5,2.2,0.30,0.72,1.9,3.0,10.6,9.5,17.5,79,80,76,68,62
2017-07-02 00:00,2021,67,65,0.00,45,0.00,,5.3,1.6,0.31,0.65,1.9,4.4,10.8,8.6,17.7,77,78,76,68,62
2017-07-02 01:00,2021,65,62,0.00,51,0.00,,5.0,1.5,0.32,0.62,2.2,3.4,11.0,9.7,17.4,75,77,76,68,62
2017-07-02 02:00,2021,62,58,0.00,59,0.00,,9.2,4.1,0.32,0.52,0.7,3.6,9.8,9.0,17.7,74,76,76,68,62
2017-07-02 03:00,2021,58,57,0.00,67,0.52,,3.8,1.9,0.32,0.48,0.8,4.1,11.3,9.6,17.6,72,74,75,68,62
2017-07-02 04:00,2021,60,57,0.00,66,32.14,,3.3,1.7,0.32,0.49,1.3,4.1,10.7,9.9,17.5,71,73,75,68,62
2017-07-02 05:00,2021,65,60,0.00,64,161.90,,5.5,3.1,0.34,0.56,1.4,2.7,9.6,8.7,17.6,69,72,75,68,62
2017-07-02 06:00,2021,71,65,0.00,57,326.10,,7.5,4.2,0.34,0.67,1.4,3.8,9.4,8.8,17.6,69,71,74,68,62
2017-07-02 07:00,2021,75,71,0.00,44,496.60,,11.3,6.4,0.32,0.82,1.1,2.3,10.2,9.2,17.3,69,71,74,68,62
2017-07-02 08:00,2021,79,75,0.00,36,655.40,,11.8,7.4,0.30,0.93,1.0,3.9,9.8,8.6,17.3,71,71,73,68,62
2017-07-02 09:00,2021,82,79,0.00,28,785.00,,13.4,6.8,0.28,1.02,1.9,3.9,10.2,8.9,17.4,74,71,73,68,62
2017-07-02 10:00,2021,85,82,0.00,27,878.00,,13.5,7.4,0.25,1.14,1.3,4.3,9.8,9.2,17.4,78,73,73,68,62
2017-07-02 11:00,2021,87,85,0.00,20,925.00,,14.2,6.4,0.22,1.24,2.1,3.4,11.1,9.4,17.7,82,75,72,68,62
2017-07-02 12:00,2021,89,87,0.00,17,920.00,,13.2,6.4,0.24,1.33,2.0,3.5,10.2,9.8,17.6,86,78,72,68,62
2017-07-02 13:00,2021,91,89,0.00,18,874.00,,16.8,6.2,0.27,1.43,2.2,2.7,10.4,9.1,17.5,89,81,73,68,62
2017-07-02 14:00,2021,92,91,0.00,18,783.00,,14.7,8.2,0.27,1.48,2.0,3.6,11.1,9.2,17.4,93,83,73,68,62
2017-07-02 15:00,2021,92,91,0.00,18,653.00,,16.0,8.8,0.27,1.51,2.5,2.9,10.9,9.2,17.7,96,85,74,68,62
2017-07-02 16:00,2021,92,91,0.00,18,498.10,,15.5,8.8,0.25,1.48,2.9,4.1,9.5,9.0,17.6,96,87,74,68,62
2017-07-02 17:00,2021,91,89,0.00,18,328.40,,13.1,6.9,0.26,1.43,2.3,3.6,10.0,9.1,17.8,96,87,75,68,62
2017-07-02 18:00,2021,89,84,0.00,19,133.30,,9.0,5.3,0.26,1.33,2.3,3.8,10.7,8.8,18.0,94,87,76,68,62
2017-07-02 19:00,2021,84,80,0.00,24,29.58,,6.2,2.0,0.29,1.10,2.1,3.7,9.6,8.8,17.8,91,86,76,68,62
2017-07-02 20:00,2021,80,76,0.00,28,0.34,,2.1,1.0,0.28,0.97,2.0,4.0,9.6,9.2,17.6,88,85,77,68,62
2017-07-02 21:00,2021,76,72,0.00,30,0.00,,6.0,2.8,0.28,0.84,2.0,3.6,11.3,9.2,17.6,85,83,77,68,62
2017-07-02 22:00,2021,72,67,0.00,41,0.00,,5.1,2.8,0.34,0.76,1.3,3.1,10.9,8.8,17.4,82,82,77,68,62
2017-07-02 23:00,2021,67,66,0.00,51,0.00,,6.1,2.4,0.35,0.66,1.1,4.1,10.5,8.8,17.4,80,80,77,68,62
