Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-01-01 00:00,2214,17,14,0.00,94,0.06,,5.2,2.0,0.09,0.09,9.9,25.6,28.6,31.3,,31,32,34,36,
2017-01-01 01:00,2214,15,14,0.00,91,0.08,,3.6,0.9,0.08,0.09,10.0,24.8,28.0,31.3,,31,32,34,36,
2017-01-01 02:00,2214,15,11,0.00,91,0.09,,3.6,1.1,0.08,0.08,9.1,24.9,28.6,31.4,,31,32,34,36,
2017-01-01 03:00,2214,13,10,0.00,90,0.09,,2.8,1.3,0.07,0.08,8.8,25.3,28.1,31.4,,30,32,34,36,
2017-01-01 04:00,2214,12,10,0.00,89,0.09,,3.2,0.8,0.06,0.07,8.0,25.2,28.1,31.4,,30,32,34,36,
2017-01-01 05:00,2214,17,12,0.00,89,0.06,,3.2,0.8,0.08,0.09,8.1,24.6,28.0,31.0,,29,32,34,36,
2017-01-01 06:00,2214,19,17,0.00,91,0.04,,3.8,1.1,0.09,0.10,7.8,24.4,28.6,31.4,,29,32,34,36,
2017-01-01 07:00,2214,22,19,0.00,92,1.98,,3.9,0.6,0.10,0.11,8.1,24.4,28.6,31.0,,29,32,34,36,
2017-01-01 08:00,2214,25,22,0.00,93,23.14,,3.3,1.5,0.12,0.12,8.1,24.2,28.6,31.0,,29,32,34,36,
2017-01-01 09:00,2214,26,25,0.00,93,47.14,,6.2,2.8,0.12,0.14,8.3,24.2,28.1,30.8,,29,32,34,36,
2017-01-01 10:00,2214,27,26,0.00,90,146.80,,12.7,7.6,0.13,0.14,8.3,23.6,28.2,31.2,,29,32,34,36,
2017-01-01 11:00,2214,28,26,0.00,87,165.90,,17.0,9.3,0.13,0.14,8.2,23.5,28.5,31.2,,30,32,34,36,
2017-01-01 12:00,2214,29,28,0.00,87,204.60,,19.7,12.2,0.13,0.15,8.5,23.4,28.6,31.0,,30,32,34,36,
2017-01-01 13:00,2214,31,29,0.00,69,315.00,,23.4,13.7,0.09,0.17,8.6,23.2,28.6,30.9,,31,32,34,36,
2017-01-01 14:00,2214,29,29,0.00,48,154.20,,23.0,12.2,0.09,0.16,8.6,23.5,28.3,31.1,,31,32,34,36,
2017-01-01 15:00,2214,29,28,0.00,58,76.82,,22.6,11.1,0.09,0.16,8.6,23.7,28.3,31.0,,31,32,34,36,
2017-01-01 16:00,2214,28,26,0.00,65,12.67,,18.8,9.2,0.10,0.15,8.8,23.8,28.3,30.7,,31,32,34,36,
2017-01-01 17:00,2214,27,24,0.00,72,0.03,,17.8,8.8,0.11,0.14,9.0,24.1,27.8,31.1,,31,32,34,36,
2017-01-01 18:00,2214,24,24,0.00,87,0.01,,27.8,9.1,0.12,0.13,8.8,24.2,28.3,30.7,,31,32,34,36,
2017-01-01 19:00,2214,24,23,0.00,92,0.01,,19.3,9.1,0.11,0.13,9.3,23.7,28.4,30.8,,31,32,34,36,
2017-01-01 20:00,2214,24,23,0.00,76,0.01,,14.6,7.0,0.10,0.13,8.9,23.8,27.3,30.8,,31,32,34,36,
2017-01-01 21:00,2214,24,22,0.00,78,0.01,,16.2,7.8,0.11,0.13,8.7,23.9,28.4,30.8,,31,32,34,36,
2017-01-01 22:00,2214,24,22,0.00,86,0.02,,20.0,11.7,0.10,0.12,8.7,23.9,28.4,30.8,,31,32,34,36,
2017-01-01 23:00,2214,23,22,0.00,88,0.02,,17.2,7.9,0.10,0.12,8.7,24.2,28.0,30.8,,31,32,34,36,
2017-01-02 00:00,2214,23,23,0.00,73,0.02,,18.6,10.7,0.09,0.12,8.7,24.2,27.9,30.8,,31,32,34,36,
2017-01-02 01:00,2214,23,22,0.00,74,0.03,,15.9,9.6,0.09,0.12,8.7,24.0,28.0,30.5,,31,32,34,36,
2017-01-02 02:00,2214,22,22,0.00,74,0.04,,15.1,8.1,0.09,0.12,8.7,23.7,28.0,30.5,,31,32,34,36,
2017-01-02 03:00,2214,22,22,0.00,75,0.02,,17.9,8.2,0.09,0.12,8.7,24.2,28.0,30.6,,31,32,34,36,
2017-01-02 04:00,2214,22,22,0.00,73,0.03,,13.2,7.3,0.09,0.12,8.7,23.8,28.0,30.6,,31,32,34,36,
2017-01-02 05:00,2214,22,21,0.00,76,0.02,,11.0,6.3,0.09,0.12,8.7,24.1,28.0,30.6,,31,32,34,36,
2017-01-02 06:00,2214,22,21,0.00,79,0.01,,8.9,3.2,0.09,0.12,9.1,23.3,28.0,30.4,,31,32,34,36,
2017-01-02 07:00,2214,21,19,0.00,86,4.31,,3.5,1.7,0.09,0.11,9.1,24.2,27.7,30.4,,31,32,34,36,
2017-01-02 08:00,2214,23,20,0.00,90,77.01,,6.3,3.2,0.09,0.11,8.4,23.7,28.1,30.4,,31,32,34,36,
2017-01-02 09:00,2214,26,23,0.00,75,177.40,,9.8,5.6,0.09,0.13,9.0,23.9,27.8,30.5,,31,32,34,36,
2017-01-02 10:00,2214,28,25,0.01,72,220.80,,22.9,10.2,0.09,0.14,9.1,24.0,28.0,30.5,,31,32,34,36,
2017-01-02 11:00,2214,28,27,0.02,51,304.40,,20.8,11.6,0.08,0.15,8.7,23.8,27.8,30.2,,31,32,34,36,
2017-01-02 12:00,2214,27,26,0.00,60,280.50,,13.9,8.0,0.09,0.14,8.7,24.0,28.0,30.3,,31,32,34,36,
2017-01-02 13:00,2214,27,25,0.01,80,248.10,,11.3,5.8,0.11,0.14,8.7,23.9,28.1,30.3,,31,32,34,36,
2017-01-02 14:00,2214,28,27,0.00,69,184.80,,17.0,8.6,0.10,0.15,8.9,24.3,27.9,30.3,,31,32,34,36,
2017-01-02 15:00,2214,28,25,0.00,59,65.31,,14.0,5.9,0.09,0.15,8.7,23.9,28.1,30.3,,31,32,34,36,
2017-01-02 16:00,2214,25,23,0.00,80,8.77,,6.9,2.0,0.12,0.13,9.0,24.2,28.1,30.0,,31,32,34,36,
2017-01-02 17:00,2214,23,23,0.00,93,0.04,,11.5,4.1,0.12,0.12,8.8,24.5,27.2,30.1,,31,32,34,36,
2017-01-02 18:00,2214,23,22,0.00,94,0.02,,9.6,2.9,0.12,0.12,8.8,24.2,28.1,30.1,,31,32,34,36,
2017-01-02 19:00,2214,22,18,0.00,93,0.01,,4.7,2.3,0.10,0.11,8.8,23.8,27.9,30.3,,31,32,34,36,
2017-01-02 20:00,2214,19,16,0.00,92,0.04,,4.1,1.9,0.09,0.10,8.8,24.3,27.9,30.1,,31,32,34,36,
2017-01-02 21:00,2214,17,14,0.00,90,0.03,,6.8,2.3,0.08,0.09,8.8,23.6,27.9,30.1,,31,32,34,36,
2017-01-02 22:00,2214,19,16,0.00,91,0.04,,5.0,2.1,0.09,0.10,8.8,24.0,27.9,29.9,,31,32,34,36,
2017-01-02 23:00,2214,21,19,0.00,89,0.05,,3.4,1.4,0.10,0.11,9.0,24.0,28.1,30.1,,31,32,34,36,
2017-01-03 00:00,2214,22,21,0.00,92,0.03,,2.4,0.9,0.11,0.12,8.8,24.4,27.9,30.1,,31,32,34,36,
2017-01-03 01:00,2214,22,21,0.00,93,0.02,,3.1,1.1,0.11,0.12,9.0,23.9,28.1,30.2,,31,32,34,36,
2017-01-03 02:00,2214,21,21,0.00,93,0.02,,2.6,1.0,0.11,0.12,9.0,24.0,28.1,30.2,,31,32,34,36,
2017-01-03 03:00,2214,21,19,0.00,94,0.04,,3.5,1.2,0.10,0.11,9.0,23.9,28.1,29.8,,31,32,34,36,
2017-01-03 04:00,2214,20,15,0.00,94,0.04,,3.2,1.2,0.09,0.10,9.0,24.4,28.1,30.2,,31,32,34,36,
2017-01-03 05:00,2214,19,17,0.00,93,0.04,,3.7,1.7,0.09,0.10,9.0,24.4,27.5,29.9,,31,32,34,36,
2017-01-03 06:00,2214,20,18,0.00,92,0.04,,3.3,1.6,0.10,0.11,8.8,23.7,27.6,29.9,,31,32,34,36,
2017-01-03 07:00,2214,21,20,0.00,92,2.77,,3.6,1.0,0.10,0.11,9.0,23.7,27.3,29.9,,31,32,34,36,
2017-01-03 08:00,2214,23,21,0.00,93,20.52,,2.9,1.4,0.11,0.12,9.3,24.4,27.2,29.3,,31,32,34,36,
2017-01-03 09:00,2214,29,23,0.00,93,56.77,,3.1,0.7,0.12,0.13,8.9,24.4,27.6,29.9,,31,32,34,36,
2017-01-03 10:00,2214,32,29,0.07,88,120.60,,10.4,3.8,0.14,0.17,8.7,24.3,27.6,29.9,,31,32,34,36,
2017-01-03 11:00,2214,32,31,0.07,78,129.40,,10.6,7.2,0.14,0.18,8.8,24.1,27.7,29.8,,31,32,34,36,
2017-01-03 12:00,2214,32,31,0.02,86,128.00,,10.1,7.0,0.15,0.18,8.8,24.4,27.7,29.8,,31,32,34,36,
2017-01-03 13:00,2214,32,31,0.01,86,102.60,,11.3,5.4,0.16,0.18,8.8,24.3,27.7,29.8,,31,32,34,36,
2017-01-03 14:00,2214,31,31,0.00,92,63.19,,8.3,5.4,0.16,0.17,9.2,23.6,27.7,29.8,,31,32,34,36,
2017-01-03 15:00,2214,31,31,0.01,93,27.40,,9.8,4.1,0.16,0.17,9.3,24.4,27.7,29.7,,31,32,34,36,
2017-01-03 16:00,2214,31,30,0.00,95,5.17,,11.8,7.4,0.16,0.17,9.2,23.8,27.7,29.8,,31,32,34,36,
2017-01-03 17:00,2214,30,30,0.00,95,0.01,,8.7,5.3,0.16,0.17,9.4,24.2,27.7,29.8,,31,32,34,36,
2017-01-03 18:00,2214,30,30,0.00,96,0.00,,11.0,5.8,0.16,0.17,9.4,24.2,27.7,29.8,,31,32,34,36,
2017-01-03 19:00,2214,31,30,0.00,97,0.00,,12.6,6.6,0.17,0.17,9.4,24.5,27.7,29.8,,31,32,34,36,
2017-01-03 20:00,2214,31,31,0.00,97,0.01,,10.4,6.5,0.17,0.17,9.2,24.6,27.7,29.9,,31,32,34,36,
2017-01-03 21:00,2214,32,31,0.00,98,0.00,,10.1,6.8,0.17,0.18,8.6,24.6,27.7,29.9,,31,32,34,36,
2017-01-03 22:00,2214,35,32,0.00,98,0.00,,15.2,7.9,0.18,0.19,9.4,24.6,27.7,29.9,,32,32,34,36,
2017-01-03 23:00,2214,36,35,0.00,98,0.00,,18.4,10.6,0.20,0.20,9.6,24.6,27.4,29.9,,32,32,34,36,
2017-01-04 00:00,2214,37,36,0.10,98,0.00,,16.2,8.1,0.20,0.22,9.6,24.1,27.7,29.9,,31,32,34,36,
2017-01-04 01:00,2214,38,37,0.08,88,0.00,,16.2,7.3,0.19,0.23,9.7,24.1,27.7,29.5,,31,32,34,36,
2017-01-04 02:00,2214,39,36,0.03,86,0.00,,15.1,8.9,0.20,0.22,9.5,24.1,27.7,29.5,,31,32,34,36,
2017-01-04 03:00,2214,39,38,0.02,86,0.00,,20.9,8.7,0.20,0.24,9.4,24.1,27.7,29.5,,31,32,34,36,
2017-01-04 04:00,2214,39,35,0.05,86,0.00,,17.5,4.6,0.20,0.22,9.2,24.1,27.6,29.5,,31,32,34,36,
2017-01-04 05:00,2214,38,33,0.01,89,0.00,,11.2,4.7,0.19,0.20,9.2,24.4,27.7,29.6,,31,32,34,36,
2017-01-04 06:00,2214,34,33,0.00,98,0.00,,0.0,0.0,0.19,0.19,9.7,24.3,27.7,29.6,,31,32,34,36,
2017-01-04 07:00,2214,34,33,0.00,98,0.51,,0.0,0.0,0.19,0.19,9.4,24.6,27.6,29.5,,32,32,34,36,
2017-01-04 08:00,2214,33,33,0.00,99,5.59,,0.0,0.0,0.18,0.19,9.4,24.7,27.5,29.9,,31,32,34,36,
2017-01-04 09:00,2214,33,31,0.00,99,11.03,,0.0,0.0,0.18,0.18,9.3,25.2,28.1,29.9,,31,32,34,36,
2017-01-04 10:00,2214,32,31,0.00,97,20.47,,0.0,0.0,0.17,0.18,9.6,24.9,28.1,29.7,,31,32,34,36,
2017-01-04 11:00,2214,31,31,0.00,93,24.33,,0.0,0.0,0.16,0.17,9.6,24.8,28.0,29.7,,31,32,34,36,
2017-01-04 12:00,2214,31,31,0.00,86,40.37,,0.0,0.0,0.14,0.17,9.8,25.2,28.0,29.9,,32,32,34,36,
2017-01-04 13:00,2214,31,30,0.00,79,41.37,,0.0,0.0,0.13,0.17,9.8,25.2,28.4,29.8,,31,32,34,36,
2017-01-04 14:00,2214,30,29,0.00,82,33.91,,0.0,0.0,0.14,0.17,10.1,24.4,28.4,29.8,,31,32,34,36,
2017-01-04 15:00,2214,29,27,0.00,83,14.51,,0.0,0.0,0.13,0.15,10.0,25.2,28.4,30.2,,31,32,34,36,
2017-01-04 16:00,2214,27,25,0.00,88,2.37,,0.0,0.0,0.12,0.14,10.1,25.0,28.4,30.1,,31,32,34,36,
2017-01-04 17:00,2214,25,21,0.00,92,0.02,,0.0,0.0,0.12,0.13,10.1,24.8,28.4,30.1,,32,32,34,36,
2017-01-04 18:00,2214,23,22,0.00,89,0.03,,0.0,0.0,0.11,0.12,10.1,25.2,28.4,30.1,,31,32,34,36,
2017-01-04 19:00,2214,23,20,0.00,85,0.03,,0.0,0.0,0.10,0.12,9.6,24.4,28.4,30.1,,32,32,34,36,
2017-01-04 20:00,2214,20,14,0.00,86,0.03,,0.0,0.0,0.09,0.10,10.2,24.8,28.4,30.4,,32,32,34,36,
2017-01-04 21:00,2214,15,11,0.00,92,0.05,,0.0,0.0,0.07,0.08,10.2,24.9,28.3,30.1,,32,32,34,36,
2017-01-04 22:00,2214,14,9,0.00,94,0.14,,0.0,0.0,0.07,0.08,10.2,24.9,28.3,30.1,,32,32,34,36,
2017-01-04 23:00,2214,9,5,0.00,91,0.14,,0.0,0.0,0.06,0.06,9.9,24.7,28.3,30.0,,32,32,34,36,
2017-01-05 00:00,2214,10,5,0.00,86,0.12,,0.0,0.0,0.06,0.06,10.6,24.8,27.5,30.3,,32,32,34,36,
2017-01-05 01:00,2214,13,10,0.00,88,0.08,,0.0,0.0,0.07,0.08,10.1,25.1,28.3,30.3,,32,32,34,36,
2017-01-05 02:00,2214,11,11,0.00,88,0.07,,0.0,0.0,0.06,0.07,10.4,25.1,28.0,30.3,,32,32,34,36,
2017-01-05 03:00,2214,14,10,0.00,89,0.06,,0.0,0.0,0.07,0.08,10.4,25.1,28.0,30.3,,32,32,34,36,
2017-01-05 04:00,2214,11,10,0.00,88,0.06,,0.0,0.0,0.06,0.07,10.3,24.9,28.3,30.3,,32,32,34,36,
2017-01-05 05:00,2214,12,10,0.00,81,0.06,,0.0,0.0,0.06,0.07,10.6,24.7,28.6,30.1,,32,32,34,36,
2017-01-05 06:00,2214,12,10,0.00,77,0.06,,0.0,0.0,0.06,0.07,10.6,24.9,28.3,30.2,,32,32,34,36,
2017-01-05 07:00,2214,10,8,0.00,79,1.26,,0.0,0.0,0.06,0.07,10.4,24.6,28.0,30.2,,32,32,34,36,
2017-01-05 08:00,2214,8,6,0.00,79,26.42,,0.0,0.0,0.05,0.06,10.6,25.1,28.3,30.4,,32,32,34,36,
2017-01-05 09:00,2214,13,7,0.00,75,76.48,,0.0,0.0,0.05,0.07,10.4,24.9,28.0,30.6,,32,32,34,36,
2017-01-05 10:00,2214,14,12,0.00,66,102.80,,0.0,0.0,0.05,0.08,10.9,24.6,28.6,30.5,,31,32,34,36,
2017-01-05 11:00,2214,16,14,0.00,70,122.50,,0.0,0.0,0.06,0.09,10.9,24.9,28.3,30.5,,32,32,34,36,
2017-01-05 12:00,2214,18,16,0.06,69,132.90,,0.0,0.0,0.06,0.09,10.8,24.9,28.6,30.4,,32,32,34,36,
2017-01-05 13:00,2214,18,17,0.06,65,131.70,,0.0,0.0,0.07,0.10,10.8,25.3,28.6,30.3,,32,32,34,36,
2017-01-05 14:00,2214,21,17,0.06,69,116.60,,0.0,0.0,0.07,0.10,10.9,24.9,28.5,30.3,,32,32,34,36,
2017-01-05 15:00,2214,21,16,0.02,68,86.40,,0.0,0.0,0.07,0.11,11.1,25.2,27.9,30.6,,32,32,34,36,
2017-01-05 16:00,2214,16,8,0.00,69,21.68,,0.0,0.0,0.06,0.09,10.9,25.0,28.2,30.6,,32,32,34,36,
2017-01-05 17:00,2214,9,5,0.00,82,0.10,,0.0,0.0,0.05,0.06,10.7,24.8,28.2,30.6,,32,32,34,36,
2017-01-05 18:00,2214,7,5,0.00,82,0.09,,0.0,0.0,0.05,0.06,10.9,24.6,28.5,30.5,,32,32,34,36,
2017-01-05 19:00,2214,6,1,0.00,85,0.17,,0.0,0.0,0.04,0.05,10.9,24.6,28.2,30.5,,32,32,34,36,
2017-01-05 20:00,2214,8,1,0.00,85,0.16,,0.0,0.0,0.04,0.06,10.9,25.1,28.2,30.2,,32,32,34,36,
