Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-01-01 00:00,2215,17,15,0.00,80,0.04,,7.1,3.1,0.07,0.09,4.6,1.5,4.5,2.8,2.0,23,25,28,34,38
2017-01-01 01:00,2215,19,15,0.00,79,0.06,,6.3,2.5,0.07,0.09,4.5,1.5,4.3,2.8,2.0,23,24,28,34,38
2017-01-01 02:00,2215,19,15,0.00,70,0.03,,6.7,3.2,0.07,0.10,4.5,1.1,4.5,2.8,2.9,23,24,28,34,38
2017-01-01 03:00,2215,20,15,0.00,72,0.04,,7.1,3.2,0.07,0.10,4.5,1.1,4.3,2.8,2.3,22,24,28,34,38
2017-01-01 04:00,2215,21,16,0.00,73,0.02,,6.7,2.8,0.07,0.10,4.7,1.1,4.5,2.8,2.0,22,24,28,34,38
2017-01-01 05:00,2215,22,17,0.00,64,0.03,,7.2,2.7,0.07,0.11,4.2,1.1,4.5,2.8,2.0,22,24,28,34,38
2017-01-01 06:00,2215,27,18,0.00,66,0.14,,8.5,3.0,0.07,0.12,4.5,1.1,4.5,2.8,2.0,22,23,28,34,38
2017-01-01 07:00,2215,28,26,0.00,48,8.69,,8.0,3.3,0.06,0.14,4.5,1.3,4.0,2.8,2.0,22,23,28,34,38
2017-01-01 08:00,2215,34,19,0.00,41,188.60,,6.2,2.5,0.05,0.15,4.5,1.3,4.0,2.8,2.0,21,23,28,34,38
2017-01-01 09:00,2215,38,34,0.00,24,380.50,,11.8,5.0,0.03,0.22,4.3,0.8,4.0,2.8,2.0,21,23,28,34,38
2017-01-01 10:00,2215,38,37,0.00,14,493.30,,15.1,9.4,0.03,0.22,4.0,1.7,4.0,2.8,2.3,21,23,28,34,37
2017-01-01 11:00,2215,39,38,0.00,15,547.40,,20.6,11.0,0.03,0.23,4.5,1.2,4.3,2.8,1.6,22,23,27,34,38
2017-01-01 12:00,2215,39,38,0.00,12,541.60,,19.1,11.2,0.03,0.23,4.5,1.2,4.3,2.8,2.0,22,23,27,34,37
2017-01-01 13:00,2215,38,35,0.00,16,475.70,,21.0,13.2,0.04,0.22,4.7,1.2,4.3,2.8,2.3,23,23,27,34,38
2017-01-01 14:00,2215,36,34,0.00,19,356.60,,20.4,12.4,0.04,0.20,4.5,0.8,4.3,2.8,1.6,23,23,27,34,38
2017-01-01 15:00,2215,34,30,0.00,15,195.70,,20.5,12.4,0.03,0.19,4.5,0.8,4.3,2.8,1.6,24,23,27,34,38
2017-01-01 16:00,2215,30,27,0.00,15,12.02,,18.9,11.4,0.02,0.16,4.6,1.3,4.3,2.8,2.3,24,24,27,34,38
2017-01-01 17:00,2215,27,25,0.00,14,0.06,,19.4,9.2,0.02,0.14,4.6,1.1,4.3,2.8,1.6,24,24,27,34,38
2017-01-01 18:00,2215,26,24,0.00,15,0.02,,20.6,9.4,0.02,0.14,4.5,1.1,4.3,2.8,2.0,23,24,27,34,38
2017-01-01 19:00,2215,24,23,0.00,14,0.01,,18.1,9.6,0.02,0.13,4.5,1.1,4.3,2.8,2.0,23,24,27,34,38
2017-01-01 20:00,2215,23,22,0.00,16,0.02,,16.8,7.8,0.02,0.12,4.1,1.1,4.3,3.9,2.3,23,24,27,34,37
2017-01-01 21:00,2215,22,20,0.00,22,0.02,,14.8,7.2,0.04,0.11,4.7,1.3,4.4,2.8,2.3,22,24,27,34,38
2017-01-01 22:00,2215,21,18,0.00,42,0.02,,13.6,6.2,0.04,0.11,4.2,1.3,4.3,2.8,2.3,22,24,27,34,38
2017-01-01 23:00,2215,20,18,0.00,42,0.03,,14.2,6.0,0.05,0.10,4.5,1.3,4.3,3.0,2.0,22,23,27,34,38
2017-01-02 00:00,2215,20,19,0.00,52,0.03,,18.3,9.2,0.05,0.11,4.5,0.8,4.3,2.8,1.6,22,23,27,34,38
2017-01-02 01:00,2215,20,19,0.00,53,0.02,,20.3,10.9,0.06,0.11,4.5,1.2,4.3,2.8,1.6,21,23,27,34,38
2017-01-02 02:00,2215,20,19,0.00,50,0.02,,21.0,11.9,0.06,0.11,4.0,1.2,4.3,3.0,1.6,21,23,27,34,38
2017-01-02 03:00,2215,20,19,0.00,55,0.02,,19.2,9.6,0.06,0.11,4.0,1.2,4.3,2.8,2.3,21,23,27,34,38
2017-01-02 04:00,2215,20,19,0.00,49,0.01,,20.0,10.9,0.05,0.11,4.0,1.2,4.3,2.8,2.0,21,23,27,34,38
2017-01-02 05:00,2215,20,19,0.00,50,0.05,,18.6,9.8,0.05,0.11,4.0,1.2,4.5,3.0,2.0,21,23,27,34,38
2017-01-02 06:00,2215,20,19,0.00,48,0.06,,18.4,11.1,0.05,0.11,4.0,1.2,4.5,2.8,2.3,21,22,27,34,37
2017-01-02 07:00,2215,20,19,0.00,50,6.22,,17.6,9.3,0.05,0.11,4.0,1.2,4.3,2.8,2.0,21,22,27,34,38
2017-01-02 08:00,2215,22,19,0.00,52,152.80,,19.1,10.8,0.06,0.11,4.3,1.2,4.1,2.8,1.6,21,22,27,34,37
2017-01-02 09:00,2215,25,22,0.00,49,327.50,,16.0,8.6,0.06,0.12,4.5,0.6,4.1,3.0,2.3,21,22,27,34,38
2017-01-02 10:00,2215,27,24,0.00,39,441.50,,16.4,6.4,0.06,0.14,4.5,0.6,4.4,3.0,1.6,21,22,27,34,38
2017-01-02 11:00,2215,28,26,0.00,38,546.60,,17.0,8.6,0.06,0.15,4.3,1.4,4.4,3.0,1.6,21,22,27,34,37
2017-01-02 12:00,2215,28,27,0.00,39,534.90,,15.5,7.2,0.06,0.15,4.3,1.4,4.4,3.0,1.6,22,22,27,34,37
2017-01-02 13:00,2215,28,27,0.00,40,466.70,,19.1,8.7,0.06,0.15,4.5,0.6,4.4,3.0,1.6,22,22,26,34,37
2017-01-02 14:00,2215,28,25,0.00,42,316.40,,16.9,8.3,0.06,0.14,4.5,0.4,4.1,3.0,2.0,22,23,26,34,37
2017-01-02 15:00,2215,26,22,0.00,46,112.80,,16.2,8.2,0.06,0.13,4.2,1.2,4.4,3.0,1.6,23,23,26,34,37
2017-01-02 16:00,2215,22,19,0.00,49,17.28,,9.0,3.5,0.06,0.12,4.2,1.2,4.4,3.0,2.0,23,23,26,33,37
2017-01-02 17:00,2215,20,18,0.00,55,0.11,,8.4,2.7,0.06,0.10,4.2,1.2,4.1,2.8,1.6,23,23,26,34,37
2017-01-02 18:00,2215,20,19,0.00,57,0.03,,11.4,3.6,0.06,0.11,4.5,1.2,4.9,3.0,2.0,22,23,27,33,37
2017-01-02 19:00,2215,20,18,0.00,56,0.03,,9.6,3.4,0.06,0.11,4.5,1.2,4.4,3.0,2.0,22,23,27,33,37
2017-01-02 20:00,2215,20,18,0.00,59,0.03,,13.0,3.7,0.06,0.10,4.5,1.2,4.1,3.0,2.0,22,23,27,33,37
2017-01-02 21:00,2215,21,18,0.00,56,0.04,,13.9,4.5,0.06,0.11,4.0,1.2,4.1,3.0,2.3,21,23,27,33,37
2017-01-02 22:00,2215,21,19,0.00,47,0.02,,12.6,6.9,0.06,0.11,4.0,1.2,4.1,3.0,1.6,21,23,27,33,37
2017-01-02 23:00,2215,20,19,0.00,47,0.02,,11.6,6.6,0.05,0.11,4.3,1.2,4.4,3.0,1.6,21,22,27,33,37
2017-01-03 00:00,2215,20,18,0.00,47,0.02,,12.6,7.0,0.05,0.11,4.3,0.6,4.1,2.8,2.0,21,22,26,33,37
2017-01-03 01:00,2215,24,18,0.00,46,0.02,,13.7,7.4,0.04,0.12,4.3,0.6,4.1,2.8,2.0,21,22,26,33,37
2017-01-03 02:00,2215,24,22,0.00,35,0.02,,17.6,7.6,0.04,0.12,4.3,0.6,4.4,3.0,2.0,20,22,26,33,37
2017-01-03 03:00,2215,24,22,0.00,37,0.02,,19.7,8.5,0.05,0.12,4.3,0.6,4.7,3.0,2.3,20,22,26,33,37
2017-01-03 04:00,2215,22,21,0.00,45,0.01,,13.9,7.4,0.06,0.12,4.1,0.6,4.7,3.0,2.9,20,22,26,33,37
2017-01-03 05:00,2215,23,22,0.00,56,0.02,,15.2,7.9,0.06,0.12,4.5,0.6,4.4,3.0,2.0,20,22,26,33,37
2017-01-03 06:00,2215,24,23,0.00,55,0.04,,17.2,5.7,0.07,0.13,4.5,0.6,4.4,2.8,2.0,20,22,26,33,37
2017-01-03 07:00,2215,25,24,0.00,56,7.50,,12.1,4.6,0.07,0.13,3.9,1.0,4.7,3.0,2.0,20,22,26,33,37
2017-01-03 08:00,2215,29,24,0.00,55,160.80,,8.9,2.9,0.08,0.14,4.1,1.0,4.7,3.0,2.4,20,22,26,33,37
2017-01-03 09:00,2215,34,29,0.00,50,331.30,,10.6,4.6,0.09,0.17,4.1,1.2,3.6,3.0,2.0,21,22,26,33,37
2017-01-03 10:00,2215,35,34,0.00,48,473.80,,17.8,9.2,0.10,0.20,4.5,1.0,4.0,3.0,2.0,21,22,26,33,37
2017-01-03 11:00,2215,36,35,0.00,51,569.30,,20.2,12.7,0.11,0.21,4.5,0.9,4.0,3.0,3.6,21,22,26,33,37
2017-01-03 12:00,2215,37,36,0.00,52,569.70,,17.6,11.4,0.11,0.22,4.3,0.6,4.7,3.0,1.6,22,22,26,33,37
2017-01-03 13:00,2215,36,34,0.00,53,409.00,,19.1,11.4,0.11,0.20,4.2,0.6,4.7,3.0,2.0,23,22,26,33,37
2017-01-03 14:00,2215,35,33,0.00,55,303.40,,13.8,6.1,0.11,0.20,4.0,0.4,4.7,3.0,2.0,24,23,26,33,37
2017-01-03 15:00,2215,33,31,0.00,59,93.20,,11.4,3.9,0.11,0.18,4.6,1.2,3.6,3.0,1.6,24,23,26,33,37
2017-01-03 16:00,2215,31,30,0.00,62,13.26,,11.8,4.7,0.12,0.17,4.6,1.2,4.0,3.0,1.6,25,24,26,33,37
2017-01-03 17:00,2215,30,29,0.00,80,0.02,,12.2,4.3,0.14,0.16,4.4,0.8,4.7,3.4,2.0,25,24,26,33,37
2017-01-03 18:00,2215,30,29,0.00,86,0.00,,10.2,4.1,0.14,0.17,4.4,0.8,4.4,3.0,2.0,25,24,26,33,37
2017-01-03 19:00,2215,30,29,0.00,84,0.00,,7.3,3.0,0.14,0.16,4.4,0.8,4.7,2.8,2.3,25,24,26,33,37
2017-01-03 20:00,2215,30,29,0.00,92,0.01,,10.8,3.3,0.14,0.16,4.4,1.1,4.4,3.0,2.0,25,24,26,33,37
2017-01-03 21:00,2215,30,29,0.00,90,0.00,,12.8,4.2,0.14,0.17,4.4,1.1,4.4,3.0,2.4,25,25,27,33,37
2017-01-03 22:00,2215,30,29,0.00,84,0.00,,14.4,4.9,0.14,0.17,4.4,1.1,4.4,3.0,1.6,25,25,27,33,37
