Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-07-01 00:00,2190,90,87,0.00,9,0.09,,16.4,11.9,0.13,1.36,0.3,,7.7,35.7,56.3,94,100,101,100,89
2017-07-01 01:00,2190,90,85,0.00,9,0.14,,13.2,6.8,0.12,1.35,0.5,,8.0,35.7,52.6,92,98,100,99,89
2017-07-01 02:00,2190,85,81,0.00,10,0.20,,7.8,3.0,0.12,1.17,0.1,,8.1,35.7,52.6,92,96,99,99,89
2017-07-01 03:00,2190,84,72,0.00,11,0.21,,5.1,2.6,0.12,1.07,0.1,,7.8,35.7,52.6,90,96,98,99,89
2017-07-01 04:00,2190,72,70,0.00,15,11.04,,7.3,3.6,0.11,0.76,0.1,,7.5,35.6,52.6,88,94,97,99,89
2017-07-01 05:00,2190,76,71,0.00,14,144.80,,7.2,4.1,0.11,0.81,0.1,,7.5,35.6,52.6,86,92,97,99,89
2017-07-01 06:00,2190,82,76,0.00,13,331.50,,8.1,5.0,0.12,0.97,0.1,,8.0,35.6,52.6,85,91,96,99,89
2017-07-01 07:00,2190,93,82,0.00,12,526.10,,16.0,7.7,0.16,1.30,0.1,,7.8,35.6,52.6,87,91,95,98,89
2017-07-01 08:00,2190,96,93,0.00,12,705.00,,20.6,14.1,0.20,1.62,0.4,,7.5,35.5,52.6,92,92,94,98,89
2017-07-01 09:00,2190,100,96,0.00,12,856.00,,23.2,16.4,0.20,1.78,0.6,,7.6,35.5,52.6,97,94,94,98,89
