Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-07-01 00:00,2187,69,67,0.00,21,0.00,,4.4,2.2,0.16,0.71,4.9,5.7,8.8,7.4,8.7,85,87,85,78,71
2017-07-01 01:00,2187,71,67,0.00,24,0.00,,4.5,3.0,0.16,0.71,4.7,5.4,9.1,7.4,8.7,83,85,85,78,71
2017-07-01 02:00,2187,68,65,0.00,23,0.00,,4.8,3.2,0.16,0.67,4.9,5.9,9.0,7.8,9.1,81,82,84,78,71
2017-07-01 03:00,2187,66,65,0.00,26,0.00,,4.8,3.1,0.17,0.63,4.2,5.1,8.5,7.4,8.4,80,81,84,79,71
2017-07-01 04:00,2187,65,63,0.00,27,4.94,,4.7,3.2,0.17,0.61,4.4,5.3,9.0,7.6,8.8,78,80,83,79,71
2017-07-01 05:00,2187,75,63,0.00,30,103.40,,5.0,1.7,0.19,0.65,5.0,5.2,8.8,7.6,8.8,76,78,82,79,71
2017-07-01 06:00,2187,80,75,0.00,22,311.90,,3.0,0.9,0.18,0.98,4.5,5.4,8.8,7.6,8.8,75,76,82,79,71
2017-07-01 07:00,2187,85,77,0.00,21,517.50,,2.8,0.9,0.18,1.05,4.7,5.4,8.3,7.6,8.8,75,76,82,79,71
2017-07-01 08:00,2187,87,85,0.00,12,711.10,,8.4,3.1,0.15,1.24,4.7,5.4,8.5,7.8,8.8,76,76,81,79,71
2017-07-01 09:00,2187,88,87,0.00,11,869.00,,11.4,5.9,0.14,1.29,4.5,5.9,8.8,7.8,8.7,79,79,80,79,71
2017-07-01 10:00,2187,90,88,0.00,11,922.00,,16.4,6.1,0.14,1.38,4.5,5.1,8.4,7.4,8.4,82,82,80,78,71
2017-07-01 11:00,2187,93,89,0.00,9,1030.00,,18.2,8.3,0.12,1.46,4.7,5.7,8.4,7.4,8.7,87,85,80,79,71
2017-07-01 12:00,2187,94,92,0.00,8,997.00,,17.1,9.5,0.12,1.54,5.2,5.8,8.4,7.7,8.7,91,89,80,78,71
2017-07-01 13:00,2187,94,93,0.00,8,1011.00,,18.3,10.0,0.12,1.59,5.2,6.1,9.0,7.7,8.7,95,92,80,78,71
2017-07-01 14:00,2187,95,93,0.00,8,869.00,,19.2,8.5,0.12,1.62,5.1,6.3,8.8,7.4,8.7,98,96,81,78,71
2017-07-01 15:00,2187,94,93,0.00,7,683.50,,17.6,9.0,0.12,1.59,5.3,6.1,8.9,8.0,9.1,101,97,82,78,71
2017-07-01 16:00,2187,94,93,0.00,7,488.00,,14.8,7.9,0.11,1.58,5.0,6.3,8.6,8.0,9.1,102,98,82,78,71
2017-07-01 17:00,2187,93,90,0.00,7,274.10,,13.8,7.1,0.11,1.52,5.0,6.4,8.6,8.0,9.1,101,99,83,78,71
2017-07-01 18:00,2187,90,88,0.00,8,63.99,,12.8,6.7,0.12,1.40,5.3,6.3,8.4,8.0,9.1,99,98,84,78,71
2017-07-01 19:00,2187,88,86,0.00,8,2.89,,14.0,7.1,0.12,1.29,5.1,6.1,9.1,7.6,9.1,96,96,85,78,71
2017-07-01 20:00,2187,86,81,0.00,10,0.00,,8.0,3.1,0.12,1.16,5.1,6.1,9.1,8.0,9.1,94,94,85,78,71
