Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-01-01 00:00,2183,53,51,0.11,91,0.13,,10.0,4.9,0.37,0.38,,,,,,,,,,
2017-01-01 01:00,2183,52,50,0.00,99,0.16,,22.8,14.6,0.32,0.38,,,,,,,,,,
2017-01-01 02:00,2183,50,50,0.00,78,0.15,,20.1,13.7,0.29,0.36,,,,,,,,,,
2017-01-01 03:00,2183,50,49,0.00,77,0.15,,19.8,10.6,0.27,0.36,,,,,,,,,,
2017-01-01 04:00,2183,50,49,0.00,75,0.15,,12.4,8.2,0.26,0.35,,,,,,,,,,
2017-01-01 05:00,2183,49,49,0.00,72,0.16,,15.9,10.9,0.25,0.35,,,,,,,,,,
2017-01-01 06:00,2183,49,48,0.00,70,1.56,,12.7,9.5,0.25,0.35,,,,,,,,,,
2017-01-01 07:00,2183,50,49,0.00,69,44.71,,11.5,6.7,0.25,0.35,,,,,,,,,,
2017-01-01 08:00,2183,54,50,0.00,67,313.10,,12.4,8.6,0.25,0.39,,,,,,,,,,
2017-01-01 09:00,2183,56,54,0.00,62,480.60,,13.7,9.0,0.26,0.43,,,,,,,,,,
2017-01-01 10:00,2183,58,56,0.00,60,525.70,,12.7,6.8,0.27,0.46,,,,,,,,,,
2017-01-01 11:00,2183,58,56,0.00,63,582.60,,12.0,4.3,0.29,0.46,,,,,,,,,,
2017-01-01 12:00,2183,58,58,0.00,59,549.50,,12.2,7.7,0.30,0.48,,,,,,,,,,
2017-01-01 13:00,2183,60,58,0.00,64,468.40,,9.3,4.4,0.31,0.50,,,,,,,,,,
2017-01-01 14:00,2183,61,60,0.00,62,338.40,,5.8,3.1,0.30,0.53,,,,,,,,,,
2017-01-01 15:00,2183,61,60,0.00,56,167.60,,5.7,3.1,0.29,0.54,,,,,,,,,,
2017-01-01 16:00,2183,60,58,0.00,56,21.18,,4.6,1.9,0.31,0.51,,,,,,,,,,
2017-01-01 17:00,2183,58,56,0.00,67,0.21,,3.9,1.0,0.32,0.47,,,,,,,,,,
2017-01-01 18:00,2183,56,55,0.00,72,0.18,,4.4,2.4,0.32,0.45,,,,,,,,,,
2017-01-01 19:00,2183,56,53,0.00,69,0.16,,4.4,0.9,0.30,0.42,,,,,,,,,,
2017-01-01 20:00,2183,53,53,0.00,69,0.18,,2.8,0.9,0.28,0.40,,,,,,,,,,
2017-01-01 21:00,2183,53,51,0.00,70,0.17,,4.8,1.9,0.28,0.39,,,,,,,,,,
2017-01-01 22:00,2183,53,51,0.00,69,0.18,,6.2,2.7,0.27,0.40,,,,,,,,,,
2017-01-01 23:00,2183,52,51,0.00,72,0.20,,5.9,1.9,0.27,0.38,,,,,,,,,,
2017-01-02 00:00,2183,52,51,0.00,71,0.16,,6.6,3.3,0.27,0.38,,,,,,,,,,
2017-01-02 01:00,2183,51,50,0.00,69,0.16,,2.5,0.6,0.26,0.37,,,,,,,,,,
2017-01-02 02:00,2183,51,50,0.00,66,0.16,,8.9,2.8,0.25,0.37,,,,,,,,,,
2017-01-02 03:00,2183,50,49,0.00,69,0.18,,4.8,1.6,0.25,0.36,,,,,,,,,,
2017-01-02 04:00,2183,50,49,0.00,71,0.16,,5.7,2.1,0.25,0.36,,,,,,,,,,
2017-01-02 05:00,2183,50,50,0.00,72,0.15,,8.1,3.5,0.26,0.36,,,,,,,,,,
2017-01-02 06:00,2183,50,49,0.00,73,1.34,,10.2,4.1,0.27,0.36,,,,,,,,,,
2017-01-02 07:00,2183,50,49,0.00,84,31.78,,9.3,3.1,0.30,0.36,,,,,,,,,,
2017-01-02 08:00,2183,52,50,0.00,86,110.60,,3.2,0.8,0.31,0.37,,,,,,,,,,
2017-01-02 09:00,2183,54,52,0.00,76,128.00,,3.6,0.8,0.29,0.40,,,,,,,,,,
2017-01-02 10:00,2183,55,54,0.00,69,181.30,,12.4,4.4,0.29,0.42,,,,,,,,,,
2017-01-02 11:00,2183,55,55,0.00,69,163.00,,12.2,7.3,0.30,0.43,,,,,,,,,,
2017-01-02 12:00,2183,56,55,0.00,68,141.70,,10.8,4.7,0.28,0.45,,,,,,,,,,
2017-01-02 13:00,2183,56,56,0.00,59,84.20,,4.4,1.2,0.27,0.46,,,,,,,,,,
2017-01-02 14:00,2183,57,56,0.00,54,100.70,,2.5,0.9,0.25,0.46,,,,,,,,,,
2017-01-02 15:00,2183,57,57,0.00,53,57.69,,4.7,1.6,0.25,0.47,,,,,,,,,,
2017-01-02 16:00,2183,57,53,0.00,61,17.81,,4.3,2.4,0.30,0.44,,,,,,,,,,
2017-01-02 17:00,2183,53,52,0.00,77,0.25,,3.8,1.1,0.30,0.40,,,,,,,,,,
2017-01-02 18:00,2183,53,52,0.00,76,0.17,,4.8,2.2,0.30,0.40,,,,,,,,,,
2017-01-02 19:00,2183,55,51,0.00,72,0.20,,5.0,1.4,0.28,0.40,,,,,,,,,,
2017-01-02 20:00,2183,52,50,0.00,76,0.17,,4.1,2.7,0.28,0.38,,,,,,,,,,
2017-01-02 21:00,2183,51,50,0.00,79,0.19,,4.9,2.2,0.28,0.37,,,,,,,,,,
2017-01-02 22:00,2183,51,48,0.00,79,0.19,,3.8,1.1,0.28,0.36,,,,,,,,,,
2017-01-02 23:00,2183,49,47,0.00,83,0.20,,3.7,1.8,0.29,0.34,,,,,,,,,,
2017-01-03 00:00,2183,49,45,0.00,88,0.19,,4.0,1.5,0.30,0.33,,,,,,,,,,
2017-01-03 01:00,2183,47,45,0.00,94,0.18,,5.1,3.0,0.29,0.31,,,,,,,,,,
2017-01-03 02:00,2183,49,46,0.00,91,0.19,,3.4,2.0,0.30,0.34,,,,,,,,,,
2017-01-03 03:00,2183,48,45,0.00,92,0.17,,3.7,1.3,0.30,0.31,,,,,,,,,,
2017-01-03 04:00,2183,48,44,0.00,93,0.19,,4.4,1.5,0.29,0.31,,,,,,,,,,
2017-01-03 05:00,2183,46,44,0.00,98,0.18,,2.5,1.4,0.30,0.30,,,,,,,,,,
2017-01-03 06:00,2183,47,44,0.00,99,2.04,,3.8,0.9,0.30,0.30,,,,,,,,,,
2017-01-03 07:00,2183,49,47,0.00,100,71.50,,2.7,0.8,0.32,0.33,,,,,,,,,,
2017-01-03 08:00,2183,52,49,0.00,98,175.10,,4.2,1.4,0.34,0.36,,,,,,,,,,
2017-01-03 09:00,2183,52,49,0.00,94,260.00,,3.5,1.8,0.33,0.36,,,,,,,,,,
2017-01-03 10:00,2183,54,52,0.00,83,340.60,,4.5,1.8,0.34,0.40,,,,,,,,,,
2017-01-03 11:00,2183,54,53,0.00,84,274.00,,3.5,1.8,0.34,0.41,,,,,,,,,,
2017-01-03 12:00,2183,56,54,0.00,78,249.80,,6.0,2.8,0.31,0.44,,,,,,,,,,
2017-01-03 13:00,2183,57,56,0.00,65,225.10,,5.9,3.3,0.32,0.46,,,,,,,,,,
2017-01-03 14:00,2183,57,56,0.00,76,191.90,,5.9,3.3,0.34,0.46,,,,,,,,,,
2017-01-03 15:00,2183,57,56,0.00,71,82.50,,4.2,2.2,0.33,0.46,,,,,,,,,,
2017-01-03 16:00,2183,56,55,0.00,73,15.82,,2.2,0.6,0.35,0.45,,,,,,,,,,
