Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-07-01 00:00,2191,59,57,0.00,28,0.00,,1.3,0.1,0.14,0.48,0.9,0.5,2.2,2.5,12.4,78,78,76,69,65
2017-07-01 01:00,2191,57,55,0.00,30,0.00,,2.3,0.3,0.13,0.46,0.9,1.1,2.2,2.5,12.1,75,77,76,70,65
2017-07-01 02:00,2191,56,54,0.00,28,0.00,,1.2,0.1,0.12,0.44,0.8,1.0,1.5,2.5,12.1,73,76,75,70,65
2017-07-01 03:00,2191,56,53,0.00,28,0.00,,2.5,0.4,0.13,0.42,0.8,1.0,1.5,2.5,12.1,71,75,75,70,65
2017-07-01 04:00,2191,54,52,0.00,32,3.64,,2.7,0.7,0.13,0.40,0.8,1.2,1.5,2.5,12.1,69,74,75,70,65
2017-07-01 05:00,2191,57,53,0.00,31,47.88,,2.0,0.5,0.14,0.42,0.7,0.7,1.7,2.5,12.1,67,73,74,70,65
2017-07-01 06:00,2191,66,57,0.00,30,206.40,,2.1,0.6,0.14,0.54,0.6,0.7,1.7,2.5,12.1,65,72,74,70,65
2017-07-01 07:00,2191,70,66,0.00,21,513.70,,4.7,1.1,0.15,0.69,0.6,1.0,1.7,2.5,12.1,64,71,73,70,65
2017-07-01 08:00,2191,75,70,0.00,21,681.00,,3.8,1.6,0.17,0.78,0.7,1.0,1.7,2.5,12.4,64,71,73,70,65
2017-07-01 09:00,2191,79,75,0.00,18,847.00,,6.7,2.2,0.14,0.90,0.6,1.0,1.9,2.5,12.6,65,70,72,70,65
2017-07-01 10:00,2191,81,79,0.00,14,867.00,,8.6,2.2,0.14,1.02,0.8,1.0,1.4,2.5,12.6,69,70,72,70,65
2017-07-01 11:00,2191,83,81,0.00,12,1021.00,,10.1,3.6,0.13,1.09,1.0,1.0,1.8,1.8,12.0,74,70,71,70,65
2017-07-01 12:00,2191,83,81,0.00,10,986.00,,13.1,5.0,0.12,1.11,0.0,1.0,1.8,1.8,12.0,78,71,71,70,65
2017-07-01 13:00,2191,83,82,0.00,13,945.00,,12.7,5.4,0.15,1.11,0.5,1.0,2.2,2.3,12.1,83,72,71,70,65
2017-07-01 14:00,2191,83,81,0.00,14,841.00,,15.8,5.2,0.16,1.10,0.6,0.7,1.4,2.1,12.1,87,74,71,70,65
2017-07-01 15:00,2191,81,79,0.00,14,689.60,,10.6,4.9,0.17,1.04,0.6,1.2,1.9,2.3,12.1,90,76,72,70,65
2017-07-01 16:00,2191,79,76,0.00,18,507.90,,15.0,5.2,0.18,0.97,1.0,1.1,1.9,2.3,12.1,93,77,73,70,65
2017-07-01 17:00,2191,76,73,0.00,19,275.00,,11.6,5.0,0.17,0.87,0.8,1.1,1.7,2.3,12.1,94,79,73,70,65
2017-07-01 18:00,2191,73,70,0.00,22,28.41,,11.0,3.6,0.17,0.78,0.8,1.1,1.7,2.3,12.1,93,80,74,70,65
2017-07-01 19:00,2191,70,65,0.00,21,3.29,,7.8,2.0,0.16,0.68,1.1,1.1,1.7,2.0,11.8,92,80,74,70,65
2017-07-01 20:00,2191,65,62,0.00,25,0.00,,5.4,1.4,0.16,0.61,0.0,1.1,2.4,2.3,12.0,89,80,75,70,65
2017-07-01 21:00,2191,62,58,0.00,29,0.00,,3.9,0.9,0.17,0.54,0.5,1.1,2.4,2.0,11.8,86,80,75,70,65
2017-07-01 22:00,2191,58,57,0.00,35,0.00,,1.6,0.6,0.17,0.48,1.1,1.1,1.7,2.0,12.4,83,80,76,70,65
2017-07-01 23:00,2191,58,55,0.00,33,0.00,,2.3,0.4,0.16,0.47,1.1,1.3,1.7,2.1,12.4,80,79,76,70,65
2017-07-02 00:00,2191,55,53,0.00,33,0.00,,5.1,1.0,0.14,0.43,1.1,0.8,2.4,2.1,12.4,77,78,76,70,65
2017-07-02 01:00,2191,56,54,0.00,32,0.00,,4.9,2.0,0.14,0.44,0.9,0.8,1.7,2.3,12.1,74,77,76,70,65
2017-07-02 02:00,2191,55,53,0.00,35,0.00,,3.6,1.4,0.15,0.43,0.8,1.1,2.1,1.8,12.1,72,76,75,70,65
2017-07-02 03:00,2191,54,51,0.00,38,0.00,,2.8,1.4,0.16,0.40,0.7,1.1,1.7,1.8,12.1,70,75,75,70,65
2017-07-02 04:00,2191,52,50,0.00,44,3.49,,3.2,1.0,0.18,0.38,0.8,0.6,2.3,2.1,12.1,69,74,75,70,65
2017-07-02 05:00,2191,56,51,0.00,49,44.97,,3.4,1.1,0.19,0.40,0.6,0.9,2.3,1.8,12.1,67,73,74,70,65
2017-07-02 06:00,2191,65,56,0.00,46,198.30,,1.4,0.2,0.22,0.49,0.6,0.6,1.8,1.8,12.1,65,72,74,70,65
2017-07-02 07:00,2191,67,65,0.00,34,491.30,,4.2,1.4,0.23,0.63,0.6,0.9,1.8,1.8,12.1,64,71,73,70,65
2017-07-02 08:00,2191,72,67,0.00,33,683.30,,6.0,2.2,0.22,0.72,0.7,1.2,2.2,1.8,12.1,64,71,73,70,65
