Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-01-01 00:00,2184,54,51,0.08,91,0.00,,10.5,5.1,0.35,0.39,16.7,23.3,22.7,11.6,9.6,54,56,58,61,69
2017-01-01 01:00,2184,54,51,0.05,83,0.00,,14.8,7.0,0.35,0.40,21.6,27.6,22.7,11.3,9.6,53,55,57,61,68
2017-01-01 02:00,2184,52,50,0.01,89,0.00,,24.7,16.8,0.32,0.38,21.8,29.2,23.0,11.3,9.6,53,54,57,61,68
2017-01-01 03:00,2184,51,50,0.00,81,0.00,,17.7,12.9,0.30,0.37,20.9,28.5,23.0,11.3,9.6,52,54,57,61,68
2017-01-01 04:00,2184,51,50,0.00,76,0.01,,19.0,10.9,0.28,0.37,20.0,27.5,22.7,11.3,10.0,51,53,57,61,68
2017-01-01 05:00,2184,50,49,0.00,79,0.00,,11.0,7.5,0.28,0.35,19.8,26.5,22.6,11.3,10.0,50,52,56,61,68
2017-01-01 06:00,2184,49,47,0.00,79,2.36,,11.3,8.1,0.27,0.34,19.5,25.7,22.9,11.3,9.6,49,51,56,61,68
2017-01-01 07:00,2184,50,47,0.00,84,125.60,,10.7,7.5,0.28,0.35,19.1,24.9,22.9,11.8,9.6,48,50,56,61,68
2017-01-01 08:00,2184,51,50,0.00,80,231.80,,13.4,10.1,0.28,0.37,19.3,24.6,23.1,11.8,9.6,49,50,55,61,68
2017-01-01 09:00,2184,54,51,0.00,74,421.70,,11.5,8.8,0.29,0.39,19.2,24.4,23.1,11.3,9.6,51,51,55,61,68
2017-01-01 10:00,2184,56,54,0.00,72,515.20,,12.8,9.1,0.30,0.43,19.1,23.9,22.5,11.3,9.6,55,53,54,61,68
2017-01-01 11:00,2184,58,56,0.00,73,569.60,,14.2,8.7,0.30,0.47,19.6,23.4,22.5,11.3,9.6,58,56,54,61,68
2017-01-01 12:00,2184,60,58,0.00,63,564.50,,10.2,5.3,0.30,0.50,19.7,23.6,22.7,11.3,9.6,61,58,55,61,68
2017-01-01 13:00,2184,61,60,0.00,58,477.40,,8.5,4.6,0.30,0.53,19.8,23.4,23.0,11.3,9.6,64,60,55,61,68
