Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-01-01 00:00,2149,34,32,0.00,77,0.16,,8.2,4.5,0.15,0.19,10.8,8.5,10.4,0.2,2.0,,,35,40,45
2017-01-01 01:00,2149,35,31,0.00,80,0.17,,10.5,5.0,0.14,0.19,9.6,8.7,10.2,0.2,1.8,,,35,40,45
2017-01-01 02:00,2149,34,32,0.00,78,0.16,,8.1,4.3,0.14,0.19,8.2,8.7,10.0,0.2,2.0,,,35,40,45
2017-01-01 03:00,2149,34,32,0.00,72,0.17,,5.6,3.3,0.14,0.19,7.4,8.6,10.2,0.0,2.0,,,35,40,45
2017-01-01 04:00,2149,33,32,0.00,75,0.14,,6.9,3.7,0.13,0.19,5.9,8.6,10.2,0.2,2.0,,,35,40,45
2017-01-01 05:00,2149,33,30,0.00,74,0.16,,10.1,4.6,0.13,0.18,5.2,8.5,9.9,0.0,2.5,,,35,40,45
2017-01-01 06:00,2149,35,29,0.00,72,0.32,,7.6,4.5,0.13,0.18,4.5,8.4,10.1,0.2,2.5,,,35,40,45
2017-01-01 07:00,2149,35,31,0.00,64,9.57,,5.9,3.9,0.13,0.19,4.1,8.2,10.2,0.0,1.8,,,35,40,45
2017-01-01 08:00,2149,43,33,0.00,67,195.80,,5.0,2.3,0.14,0.24,4.5,8.3,10.2,0.0,2.5,,,35,40,45
2017-01-01 09:00,2149,45,43,0.00,51,358.70,,9.7,4.4,0.14,0.29,4.3,8.0,10.2,0.0,2.5,,,35,40,45
2017-01-01 10:00,2149,44,43,0.00,49,473.30,,10.9,6.4,0.14,0.29,4.3,7.8,10.4,0.0,2.7,,,35,40,45
2017-01-01 11:00,2149,46,44,0.00,49,531.30,,12.8,7.8,0.15,0.30,4.4,7.9,10.4,0.0,2.0,,,35,40,45
2017-01-01 12:00,2149,47,46,0.00,49,528.80,,12.6,7.8,0.16,0.32,5.0,7.7,10.1,0.0,2.4,,,35,40,45
2017-01-01 13:00,2149,50,47,0.00,49,419.80,,12.5,6.4,0.14,0.34,4.7,7.2,9.9,0.2,2.0,,,35,40,45
2017-01-01 14:00,2149,55,49,0.00,42,348.40,,12.0,5.3,0.12,0.38,5.1,7.6,10.2,0.0,2.0,,,35,40,45
2017-01-01 15:00,2149,54,50,0.00,20,196.60,,12.0,3.9,0.07,0.41,5.7,7.7,10.4,0.2,2.0,,,35,40,45
2017-01-01 16:00,2149,50,40,0.00,15,33.88,,12.8,4.0,0.09,0.33,6.0,7.6,9.9,0.0,2.0,,,35,40,45
