Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-01-01 00:00,2217,40,39,0.00,100,0.17,,3.8,1.2,0.24,0.24,25.4,26.8,21.9,21.9,31.3,42,44,46,50,58
2017-01-01 01:00,2217,40,39,0.00,100,0.18,,2.9,0.7,0.24,0.24,24.3,27.0,21.3,21.9,29.1,41,44,46,50,58
2017-01-01 02:00,2217,41,38,0.00,100,0.15,,6.6,2.4,0.25,0.25,25.1,26.2,22.2,21.9,29.1,41,43,46,50,58
2017-01-01 03:00,2217,45,40,0.01,100,0.17,,15.1,4.0,0.25,0.27,25.8,26.6,22.8,21.9,31.3,40,43,46,50,58
2017-01-01 04:00,2217,46,45,0.00,84,0.14,,13.9,8.5,0.29,0.30,25.0,26.6,22.7,21.6,31.3,40,42,46,50,58
2017-01-01 05:00,2217,46,42,0.00,82,0.12,,11.3,5.0,0.28,0.30,25.2,25.9,22.4,21.9,31.3,40,42,45,50,58
2017-01-01 06:00,2217,42,40,0.00,100,0.19,,8.3,3.0,0.25,0.25,25.2,26.2,21.5,21.6,31.3,40,42,45,50,58
2017-01-01 07:00,2217,43,41,0.00,100,18.77,,7.5,3.0,0.26,0.26,25.6,26.1,21.5,21.6,31.3,39,42,45,50,58
2017-01-01 08:00,2217,47,43,0.00,100,190.60,,4.9,1.8,0.29,0.30,25.5,26.1,21.3,21.6,31.3,39,41,44,50,58
2017-01-01 09:00,2217,49,47,0.00,84,351.90,,4.0,1.9,0.30,0.32,25.3,25.8,22.0,21.6,29.1,39,41,44,50,58
