Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-07-01 00:00,2186,77,76,0.00,11,0.01,,11.5,7.0,0.11,0.92,4.6,2.8,5.6,6.1,9.3,94,95,96,91,83
2017-07-01 01:00,2186,77,69,0.00,13,0.02,,12.1,7.3,0.12,0.87,4.6,2.7,5.6,6.7,9.7,94,93,96,91,83
2017-07-01 02:00,2186,69,67,0.00,17,0.01,,12.8,9.7,0.13,0.69,4.6,2.2,5.8,6.7,9.0,92,91,95,91,83
2017-07-01 03:00,2186,68,67,0.00,20,0.00,,12.8,9.9,0.14,0.67,4.6,2.4,5.2,6.7,9.7,92,90,94,91,83
2017-07-01 04:00,2186,68,68,0.00,23,6.41,,12.8,9.7,0.16,0.69,4.3,2.4,5.4,6.7,9.7,91,89,94,91,83
2017-07-01 05:00,2186,75,68,0.00,23,145.80,,12.4,8.7,0.16,0.74,4.6,2.4,5.7,6.7,9.4,90,87,93,91,83
2017-07-01 06:00,2186,85,75,0.00,19,348.00,,8.2,5.0,0.17,1.03,4.7,2.4,5.6,6.1,9.4,90,86,92,91,83
2017-07-01 07:00,2186,89,85,0.00,13,553.10,,10.6,4.9,0.17,1.30,4.4,2.4,5.6,6.1,9.4,90,86,91,91,83
2017-07-01 08:00,2186,91,89,0.00,13,735.60,,12.3,7.3,0.18,1.40,4.6,2.4,5.7,6.1,9.4,90,87,90,90,83
2017-07-01 09:00,2186,93,91,0.00,11,886.00,,16.7,8.5,0.15,1.53,4.7,2.7,5.7,6.1,9.7,90,90,90,90,83
2017-07-01 10:00,2186,94,93,0.00,10,978.00,,18.5,10.6,0.16,1.60,4.5,2.5,5.7,6.2,9.7,92,94,90,90,84
2017-07-01 11:00,2186,96,94,0.00,10,1015.00,,21.6,11.2,0.17,1.63,4.6,3.3,5.6,6.2,9.7,94,98,91,90,83
2017-07-01 12:00,2186,98,95,0.00,10,1002.00,,22.2,11.0,0.16,1.73,4.6,3.5,5.6,6.2,9.7,96,102,92,90,84
2017-07-01 13:00,2186,98,98,0.00,8,939.00,,25.0,11.1,0.14,1.80,5.0,3.3,5.4,6.2,9.7,98,105,93,90,84
