Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct),Solar Radiation Average (watt/m2),Solar Radiation/langley Total (langley),Wind Speed Maximum (mph),Wind Speed Average (mph),Vapor Pressure - Partial (inch_Hg),Vapor Pressure - Saturated (inch_Hg),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2017-01-01 00:00,2219,32,31,0.00,100,0.32,,6.7,3.5,0.18,0.18,27.2,28.4,22.0,11.3,12.1,40,42,44,50,58
2017-01-01 01:00,2219,33,32,0.00,100,0.48,,9.4,5.1,0.18,0.18,27.2,28.4,21.7,11.3,12.1,40,42,44,50,58
2017-01-01 02:00,2219,33,31,0.00,100,0.36,,11.9,7.4,0.18,0.18,25.8,29.1,22.3,11.3,12.1,39,41,44,50,58
2017-01-01 03:00,2219,32,31,0.00,100,0.15,,11.3,7.5,0.18,0.18,26.8,28.9,22.5,10.7,12.1,39,41,44,50,58
2017-01-01 04:00,2219,32,31,0.00,100,0.24,,9.5,4.5,0.18,0.18,27.2,28.2,22.2,10.8,12.1,39,41,44,50,58
2017-01-01 05:00,2219,32,30,0.00,100,0.21,,9.8,6.4,0.17,0.17,26.9,28.7,22.2,11.0,12.1,38,40,43,50,58
2017-01-01 06:00,2219,33,32,0.00,100,0.63,,11.1,8.9,0.18,0.18,25.8,28.0,22.0,11.1,12.1,38,40,43,50,58
2017-01-01 07:00,2219,35,33,0.00,100,79.51,,12.5,9.8,0.19,0.20,26.8,27.8,22.1,11.0,12.1,38,40,43,50,58
2017-01-01 08:00,2219,38,35,0.18,100,179.90,,13.0,10.0,0.21,0.22,25.5,29.0,22.3,10.8,12.1,38,39,43,50,58
2017-01-01 09:00,2219,44,38,0.01,92,278.20,,11.6,8.2,0.22,0.25,26.9,28.8,22.5,10.8,12.1,37,39,42,50,58
2017-01-01 10:00,2219,47,44,0.00,86,380.90,,9.6,7.2,0.25,0.30,27.0,27.7,22.4,11.0,12.1,38,40,42,50,58
2017-01-01 11:00,2219,49,47,0.00,73,468.00,,11.3,7.0,0.24,0.33,27.3,27.7,22.4,10.8,12.1,40,40,42,50,58
2017-01-01 12:00,2219,53,49,0.00,67,544.10,,13.4,6.4,0.22,0.37,27.3,28.8,22.4,10.8,12.1,43,42,42,50,58
2017-01-01 13:00,2219,53,43,0.00,49,459.40,,11.3,4.6,0.23,0.35,27.2,28.6,22.4,10.8,12.1,45,43,42,50,58
2017-01-01 14:00,2219,44,41,0.00,100,272.30,,7.1,3.1,0.28,0.28,27.1,28.9,22.4,11.0,12.1,47,44,43,50,58
2017-01-01 15:00,2219,41,40,0.00,100,37.38,,5.7,3.3,0.26,0.26,27.5,28.7,22.3,11.0,12.1,48,46,43,50,58
2017-01-01 16:00,2219,41,40,0.00,100,8.96,,3.4,1.2,0.25,0.25,25.7,29.2,22.9,11.3,12.1,48,46,44,49,58
2017-01-01 17:00,2219,40,40,0.00,100,0.28,,7.9,5.6,0.25,0.25,27.4,28.7,22.7,11.1,12.1,47,47,44,49,58
2017-01-01 18:00,2219,40,39,0.00,100,0.13,,8.0,4.4,0.25,0.25,27.0,28.8,22.7,11.1,12.1,47,46,45,49,58
2017-01-01 19:00,2219,39,38,0.00,100,0.12,,7.8,5.4,0.23,0.23,26.9,28.4,22.7,11.0,12.1,46,46,45,49,58
2017-01-01 20:00,2219,38,37,0.00,100,0.15,,8.0,5.4,0.22,0.22,26.6,28.7,22.6,11.2,12.1,45,45,45,49,58
2017-01-01 21:00,2219,37,37,0.00,100,0.14,,7.3,4.2,0.22,0.22,27.2,29.0,22.7,11.5,12.1,44,45,45,49,58
2017-01-01 22:00,2219,37,35,0.00,100,0.13,,6.9,3.7,0.21,0.21,26.8,28.6,22.7,11.2,12.1,44,45,45,49,58
2017-01-01 23:00,2219,36,35,0.00,100,0.17,,7.8,4.0,0.21,0.21,26.6,28.0,22.7,11.2,12.1,43,45,45,49,58
2017-01-02 00:00,2219,36,36,0.00,100,0.13,,9.5,5.7,0.21,0.21,25.4,28.5,22.3,11.2,12.1,43,44,45,49,58
2017-01-02 01:00,2219,36,35,0.00,100,0.12,,6.8,2.8,0.21,0.21,25.6,28.8,22.3,11.1,12.1,42,44,45,49,58
2017-01-02 02:00,2219,36,36,0.00,100,0.12,,5.7,1.9,0.21,0.21,26.8,27.9,22.5,11.0,12.1,42,43,45,49,58
2017-01-02 03:00,2219,36,36,0.00,100,0.12,,5.2,2.6,0.21,0.21,25.5,28.2,22.3,11.1,12.1,42,43,45,49,58
2017-01-02 04:00,2219,36,36,0.00,100,0.10,,4.8,2.5,0.21,0.21,26.3,27.9,22.5,11.2,12.1,42,43,45,49,58
2017-01-02 05:00,2219,36,36,0.00,100,0.12,,4.5,1.7,0.21,0.21,26.0,27.8,22.5,11.0,12.1,42,43,45,49,58
2017-01-02 06:00,2219,36,36,0.00,100,0.17,,8.6,4.0,0.21,0.21,25.1,27.9,22.2,10.8,12.1,41,43,44,49,58
2017-01-02 07:00,2219,36,36,0.00,100,11.79,,6.1,3.0,0.21,0.21,26.5,27.1,22.2,11.0,12.1,41,43,44,49,58
2017-01-02 08:00,2219,37,36,0.00,100,48.68,,7.8,5.1,0.22,0.22,25.9,28.3,22.4,11.2,12.1,41,42,44,49,58
2017-01-02 09:00,2219,39,37,0.00,100,90.80,,9.9,6.7,0.22,0.22,26.2,27.7,22.4,11.0,12.1,41,42,44,49,58
2017-01-02 10:00,2219,40,39,0.00,97,162.30,,8.5,5.3,0.22,0.24,26.2,27.1,22.0,11.2,12.1,41,42,44,49,58
2017-01-02 11:00,2219,42,40,0.00,90,226.00,,10.3,5.9,0.23,0.26,26.2,27.6,22.3,11.0,12.2,41,42,44,49,58
2017-01-02 12:00,2219,40,40,0.00,100,212.90,,6.9,4.0,0.25,0.25,25.2,27.8,22.4,11.2,12.2,42,42,44,49,58
2017-01-02 13:00,2219,41,40,0.00,94,166.80,,7.6,4.9,0.23,0.25,26.1,27.6,22.4,11.0,12.2,43,43,44,49,58
2017-01-02 14:00,2219,41,41,0.00,88,111.00,,6.8,3.5,0.22,0.25,25.9,28.3,22.4,11.0,12.2,44,44,44,49,58
2017-01-02 15:00,2219,41,40,0.00,87,38.11,,6.2,4.0,0.22,0.25,25.7,28.3,22.1,11.2,12.2,45,44,44,49,58
2017-01-02 16:00,2219,40,40,0.00,85,10.66,,7.0,3.8,0.21,0.25,26.2,28.3,22.1,11.0,12.2,45,45,44,49,58
